treatment,species,fishID,daysExposed,daysUntilExp,tank,tankFishIdentifier,left,right,max,total,relLat,absLat,number,score
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,1,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,2,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,3,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,4,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,5,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,6,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,7,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,8,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,9,1
Control,Acanthochromis,1,0,11,3,1-Mar,1,9,9,10,80,80,10,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,1,1
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,2,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,3,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,4,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,5,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,6,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,7,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,8,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,9,0
Control,Acanthochromis,2,0,11,3,2-Mar,9,1,9,10,-80,80,10,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,1,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,2,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,3,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,4,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,5,1
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,6,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,7,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,8,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,9,0
Control,Acanthochromis,3,0,11,4,1-Apr,5,5,5,10,0,0,10,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,1,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,2,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,3,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,4,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,5,1
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,6,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,7,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,8,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,9,0
Control,Acanthochromis,4,0,11,4,2-Apr,5,5,5,10,0,0,10,0
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,1,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,2,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,3,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,4,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,5,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,6,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,7,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,8,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,9,1
Control,Acanthochromis,5,0,11,7,1-Jul,1,9,9,10,80,80,10,0
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,1,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,2,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,3,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,4,1
Control,Acanthochromis,6,0,11,7,2-Jul,1,9,9,10,80,80,5,1
