location,year,date,time,treatment,variable,value
LIRS,2014,8_14,1_01_00 AM,control,temperature,23.4
LIRS,2014,8_14,1_11_00 AM,control,temperature,23.4
LIRS,2014,8_14,1_21_00 AM,control,temperature,23.4
LIRS,2014,8_14,1_31_00 AM,control,temperature,23.5
LIRS,2014,8_14,1_41_00 AM,control,temperature,23.5
LIRS,2014,8_14,1_51_00 AM,control,temperature,23.5
LIRS,2014,8_14,2_01_00 AM,control,temperature,23.6
LIRS,2014,8_14,2_11_00 AM,control,temperature,23.6
LIRS,2014,8_14,2_21_00 AM,control,temperature,23.8
LIRS,2014,8_14,2_31_00 AM,control,temperature,23.8
LIRS,2014,8_14,2_41_00 AM,control,temperature,23.8
LIRS,2014,8_14,2_51_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_01_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_11_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_21_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_31_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_41_00 AM,control,temperature,23.8
LIRS,2014,8_14,3_51_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_01_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_11_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_21_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_31_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_41_00 AM,control,temperature,23.8
LIRS,2014,8_14,4_51_00 AM,control,temperature,23.8
LIRS,2014,8_14,5_01_00 AM,control,temperature,23.8
LIRS,2014,8_14,5_11_00 AM,control,temperature,23.8
LIRS,2014,8_14,5_21_00 AM,control,temperature,23.8
LIRS,2014,8_14,5_31_00 AM,control,temperature,23.6
LIRS,2014,8_14,5_41_00 AM,control,temperature,23.6
LIRS,2014,8_14,5_51_00 AM,control,temperature,23.5
LIRS,2014,8_14,6_01_00 AM,control,temperature,23.5
LIRS,2014,8_14,6_11_00 AM,control,temperature,23.5
LIRS,2014,8_14,6_21_00 AM,control,temperature,23.4
LIRS,2014,8_14,6_31_00 AM,control,temperature,23.4
LIRS,2014,8_14,6_41_00 AM,control,temperature,23.4
