study,year.online,ctrl.n,lnrr.mag
a73,2017,10,0.0763
a73,2017,10,0.041
a73,2017,10,0.2242
a73,2017,10,0.2603
a73,2017,10,0.1733
a73,2017,10,0.36
a73,2017,10,0.2058
a74,2018,165,0.5153
a74,2018,165,0.441
a74,2018,165,0.1342
a74,2018,53,0.2153
a74,2018,165,0.1206
a74,2018,9,0.0795
a74,2018,9,0.5186
a76,2018,9,0.1372
a76,2018,9,0.8242
a76,2018,9,0.0607
a76,2018,9,0.0645
a76,2018,9,0.3655
a76,2018,10,0.6412
a77,2018,19,1.3393
a77,2018,19,0.3403
a77,2018,19,0.6148
a77,2018,19,1.2417
a79,2018,13,0.0703
a79,2018,14,0.3445
a79,2018,13,0.5266
a79,2018,13,0.4336
a79,2018,13,1.0143
a79,2018,13,1.3717
a79,2018,13,0.2823
a79,2018,13,0.7379
a79,2018,13,1.0957
a80,2018,10,0
a80,2018,10,0.0505
a80,2018,10,0.3506
a80,2018,10,0.034
a80,2018,10,0.0078
a80,2018,10,0.0513
a81,2018,5,1.2534
a81,2018,5,0.7537
a81,2018,4,10.1338
a81,2018,5,0.268
a81,2018,5,0.1061
a81,2018,4,0.5995
a81,2018,5,1.8326
a81,2018,5,0.6445
a81,2018,4,13.0411
a81,2018,5,1.0498
a81,2018,5,0.1372
a81,2018,4,11.9721
a81,2018,5,0.0919
a81,2018,5,0.2855
a81,2018,4,1.2106
a81,2018,5,0.0286
a81,2018,5,0.3998
a81,2018,4,0.3795
a82,2018,10,0.8596
a82,2018,10,0.3806
a82,2018,10,0.1764
a82,2018,10,0.0505
a82,2018,10,0.0384
a82,2018,16,0.1318
a82,2018,16,0
a82,2018,16,0.0563
a82,2018,16,0.0513
a82,2018,16,0.0776
a82,2018,16,0.0435
a82,2018,10,0.7538
a82,2018,10,0.3017
a82,2018,10,0.1395
a82,2018,10,0.1656
a82,2018,10,0.1449
a82,2018,10,0.1474
a82,2018,10,0.168
a82,2018,10,0.3257
a83,2018,6,0.0507
a83,2018,12,0.2611
a84,2018,30,0
a84,2018,11,0.0322
a84,2018,16,0.2901
a84,2018,23,0.2433
a86,2018,6,1.4242
a87,2018,36,0.1307
a87,2018,36,0.5138
a87,2018,36,0.1535
a87,2018,36,0.1583
a87,2018,36,0.2583
a87,2018,36,0.2583
a87,2018,36,0.0068
a87,2018,36,0.2241
a87,2018,36,0.5421
a87,2018,36,0.1017
a87,2018,36,0.3928
a87,2018,36,0.0487
a87,2018,36,0.1187
a87,2018,36,0.0428
a87,2018,36,0.1749
a87,2018,36,0.114
a87,2018,36,0.1374
a87,2018,36,0.0349
a87,2018,36,0.2352
a87,2018,36,0.0726
a87,2018,36,0.1028
a87,2018,36,0
a87,2018,36,0.1301
a87,2018,36,0.0395
a87,2018,36,0.3058
a87,2018,36,0.0626
a87,2018,36,0.3693
a87,2018,36,0.0792
a87,2018,36,0.128
a87,2018,36,0.0663
a87,2018,36,0.0516
a87,2018,36,0.0112
a87,2018,36,0.101
a87,2018,36,0.083
a87,2018,36,0.1841
a87,2018,36,0.0611
a87,2018,36,0.0061
a87,2018,36,0.0356
a87,2018,36,0.1751
a87,2018,36,0.2374
a88,2018,15,0.236388778
a88,2018,15,0.434214521
a88,2018,15,0.691902419
a88,2018,15,0.84247617
a88,2018,15,0.162381179
a88,2018,15,0.496102382
a88,2018,15,0.185376327
a88,2018,15,0.531245091
a88,2018,15,0.332825924
a88,2018,15,1.528085076
a89,2019,8,0.102
a89,2019,8,0.3677
a89,2019,8,0.0629
a89,2019,8,0.1823
a90,2019,66,0.1021
a90,2019,66,0.1155
a90,2019,66,0.1729
a90,2019,66,0.1431
a90,2019,66,0.0801
a90,2019,66,0.2941
a90,2019,66,0.3781
a90,2019,66,0.333
a90,2019,66,0.2802
a90,2019,66,0.1021
a90,2019,66,0.0829
a90,2019,66,0.1095
a90,2019,66,0.1125
a90,2019,66,0.0653
a90,2019,66,0.1307
a90,2019,66,0.2262
a90,2019,66,0.203
a90,2019,66,0.2466
a90,2019,66,0.0535
a90,2019,66,0.0487
a90,2019,66,0.026
a90,2019,66,0.0494
a90,2019,66,0.0382
a90,2019,66,0.0182
a90,2019,66,0.0494
a90,2019,66,0.0094
a90,2019,66,0.0181
a90,2019,66,0.0949
a90,2019,66,0.0273
a90,2019,66,0.0227
a90,2019,66,0.0156
a90,2019,66,0.0043
a90,2019,66,0.0096
a90,2019,66,0.0441
a90,2019,66,0.027
a90,2019,66,0.0136
