obs,study,authors,year.print,year.online,if.at.pub,2017.if,if.group,avg.n,species,climate,cue,cue.type,life.stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd
360,a90,Hurst et al,2019,2019,3.159,3.159,D,66,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.038,1.4786,66,3.646,1.3648
361,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,5.83,2.6159,66,6.544,1.706
362,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.047,2.7297,66,7.188,1.3648
363,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.254,3.2984,66,7.216,1.3648
364,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.609,3.7533,66,7.16,1.3648
365,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.686,2.161,66,3.492,1.4786
366,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.646,2.6159,66,2.498,1.5923
367,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.114,2.9571,66,2.232,1.5923
368,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,2.75,3.1846,66,2.078,1.706
369,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.038,1.4786,66,3.646,1.3648
370,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,5.83,2.6159,66,6.334,1.3648
371,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.047,2.7297,66,6.747,1.706
372,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.254,3.2984,66,6.999,1.5923
373,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.609,3.7533,66,7.055,1.3648
374,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.686,2.161,66,4.112,1.4786
375,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.646,2.6159,66,2.908,1.706
376,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.114,2.9571,66,2.542,1.706
377,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,2.75,3.1846,66,2.149,1.706
378,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.03,1.8198,66,3.82,1.8198
379,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,5.896,1.8198,66,6.19,1.8198
380,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.155,1.706,66,6.317,1.4786
381,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.299,1.9335,66,6.618,1.4786
382,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.273,1.706,66,6.517,1.706
383,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.352,2.3966,66,4.432,2.3966
384,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.413,1.9335,66,3.586,2.3966
385,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.189,2.0554,66,3.219,2.2829
386,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.062,2.2829,66,3.007,2.3966
387,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.03,1.8198,66,3.665,2.3966
388,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,5.896,1.8198,66,5.737,2.8515
389,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.155,1.706,66,6.017,1.3648
390,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.299,1.9335,66,6.398,1.8198
391,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,6.273,1.706,66,6.3,1.5923
392,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,4.352,2.3966,66,4.394,2.2829
393,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.413,1.9335,66,3.567,2.2829
394,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.189,2.0554,66,3.104,2.8515
395,a90,Hurst et al,2019,2019,3.159,3.159,D,,Gadus macrocephalus,Boreal,Yes,Light,Larvae,66,3.062,2.2829,66,3.104,2.6241
