Study,Authors,Year (online),Year (print),Title,,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.var,ctrl.vartype,ctrl.sd,oa.n,oa.mean,oa.var,oa.vartype,oa.sd,lnRR,|lnRR|,Raw mean |lnRR|,Notes,Precise sample size description in text?,Sample size source
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,,,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 2",Larvae,45,50.8110,0.0001,SE,0.0007,45,99.9999,0.0001,SE,0.0007,0.6771,0.6771,,,,
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,,,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, pred 1 vs. non-pred 1",Larvae,45,0.0001,0.0001,SE,0.0007,45,49.2060,0.5290,SE,3.5486,13.1064,13.1064,,,,
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues, ,Ecol Lett,10.318,9.137,,,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, non-pred 2 vs. pred 2",Larvae,45,0.0001,0.0001,SE,0.0007,45,49.2060,0.0001,SE,0.0007,13.1064,13.1064,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 550ppm (Fig 1)",Larvae,22,11.8990,2.0250,SD,2.0250,22,9.8730,1.7720,SD,1.7720,-0.1867,0.1867,3.7070,Added .0001 to zero values (means + variance),Y,Table S1 in Supplement
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 700ppm (Fig 1)",Larvae,22,11.8990,2.0250,SD,2.0250,22,14.1770,2.7850,SD,2.7850,0.1752,0.1752,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 850ppm (Fig 1)",Larvae,22,11.8990,2.0250,SD,2.0250,22,18.4810,1.7720,SD,1.7720,0.4403,0.4403,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 550ppm (Fig 1)",Larvae,22,11.6460,2.5320,SD,2.5320,22,12.6580,4.3040,SD,4.3040,0.0833,0.0833,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 700ppm (Fig 1)",Larvae,22,11.6460,2.5320,SD,2.5320,22,15.4430,4.3040,SD,4.3040,0.2822,0.2822,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 850ppm (Fig 1)",Larvae,22,11.6460,2.5320,SD,2.5320,22,82.7850,1.7720,SD,1.7720,1.9613,1.9613,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 550ppm (Fig 1)",Larvae,22,11.3920,2.2780,SD,2.2780,22,12.1520,2.5320,SD,2.5320,0.0646,0.0646,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 700ppm (Fig 1)",Larvae,22,11.3920,2.2780,SD,2.2780,22,22.0250,4.3040,SD,4.3040,0.6593,0.6593,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 850ppm (Fig 1)",Larvae,22,11.3920,2.2780,SD,2.2780,22,83.0380,4.8100,SD,4.8100,1.9864,1.9864,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 550ppm (Fig 1)",Larvae,20,9.6200,3.0380,SD,3.0380,20,11.6460,2.2780,SD,2.2780,0.1911,0.1911,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 700ppm (Fig 1)",Larvae,20,9.6200,3.0380,SD,3.0380,20,44.0510,32.6580,SD,32.6580,1.5215,1.5215,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 850ppm (Fig 1)",Larvae,20,9.6200,3.0380,SD,3.0380,20,87.8480,3.2910,SD,3.2910,2.2118,2.2118,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 550ppm (Fig 1)",Larvae,20,11.8990,3.0380,SD,3.0380,20,11.1390,2.7850,SD,2.7850,-0.0660,0.0660,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 700ppm (Fig 1)",Larvae,20,11.8990,3.0380,SD,3.0380,20,30.6330,28.1010,SD,28.1010,0.9456,0.9456,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 850ppm (Fig 1)",Larvae,20,11.8990,3.0380,SD,3.0380,20,87.5950,3.0380,SD,3.0380,1.9963,1.9963,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 550ppm (Fig 1)",Larvae,22,9.6200,2.2780,SD,2.2780,22,8.8610,3.7970,SD,3.7970,-0.0822,0.0822,,,,
